"id","title","description","categoryId","channelId","uploadDate","length","youtubeId","createdAt","updatedAt"
"b93fcb80-8c90-4e8c-8e5f-a0b7e7d2cb1f","Soothing TV for Cats 🐦 Birds & Squirrels Play and Snack Outdoors 🐿️ Perfect 4K Relaxation Video","Treat your cat to a soothing and engaging experience with this stunning 4K relaxation video! Watch as playful birds and squirrels snack and frolic in a peaceful outdoor setting, creating the perfect entertainment for your feline friends. This ad-free video is designed to captivate your pets while bringing a sense of calm and tranquility to your home. Whether for curious cats or nature-loving humans, enjoy the beauty of wildlife with this serene and mesmerizing Cat TV. 🐾🐦🐿️
Subscribe now and treat your furry companion to the ultimate in feline entertainment with 'Birds and Squirrels Wonderland'. Let every moment be a delightful adventure in the comfort of your home!
💻Thanks for watching, liking, sharing and subscribing. 🥰

#dogtv #backgroundvideo #videosfordogstowatch #videosforeveryone #cattv #squirrel #birdwatching #cardinals #woodpecker #backyardwildlife #separationanxiety #fourpawstv","94b2c71a-e400-4aa7-8e0e-ad502f78fdc2","b32ba2b9-ee28-4c35-b414-541891521592","2024-12-26",14450,"Ge2kwoiL5oY",1735247340446,1735247340446
"a3d1d99b-5e45-430f-b79a-b5eb9fe23611","Cat TV for Cats 😻 Birds and Squirrels Scurry for Food in Stunning🐿4 Hours 4K HDR","Birds For Cats TV
Cat TV for Cats 😻 Birds and Squirrels Scurry for Food in Stunning🐿4 Hours 4K HDR
#birdsounds #cattv #forestbirds 
----------------------------------------------------------------
Watch cat videos, birds, and forest noises on this channel. On this channel you'll find the most peaceful sound in the world. Do you want to listen to birds and the forest? Birds For Cats TV is a channel that will calm your mind and soul. Forest sound channel has sounds of nature such as rain, leaves, and wind.

©BirdsForCatsTV. All rights reserved. Any reproduction or republication of all or part of this video/audio is prohibited.","1ad628ba-3dbe-4772-b25b-3304915e5dbb","0eb2bba1-07bc-442e-9a54-2d6df589cdd4","2024-12-26",14401,"5XsFGYZjmPY",1735247938179,1735247938179
"2428d5e8-6e49-431c-96bd-a153dddcdf33","Cat games adorable mice hide & seek, and playing for cats to watch | Cat tv 4k 60fps","Watch New cat tv video where adorable mice play hide and seek for the relaxing Cats, These tiny creatures peek out from the holes of a wooden log, creating a fun and engaging scene as they explore their surroundings.
     The playful mice pop out from the log's holes, their curious faces appearing one by one, before jumping onto the lush green leaves below. The soft rustling sounds of the leaves add a calming natural ambiance, perfect for entertaining your feline friends or unwinding yourself.
     Filmed in stunning 4K UHD at 60fps, this video captures every detail of the mice’s charming antics, making it an irresistible treat for cats and humans alike. Sit back, relax, and let the delightful world of these tiny explorers brighten your day!""
Your support means everything to us! Please don’t forget to like the video as you watch—it helps us keep creating amazing content. Capturing these stunning moments with real sounds takes a lot of effort and dedication, and your appreciation makes it all worthwhile. Thank you for being a part of our journey.
every cat deserve Paul Birder .
#newcattvvideo
#catgames 
#cattv","c31ea2aa-abad-4569-a971-35f00777da26","70f2572f-6a2b-4931-8a0a-752dcd5d713a","2024-12-26",28888,"6sWeMp8nQEw",1735247929611,1735247929611
"7d85ba62-bac8-4d66-9129-33d5c7592783","Cat TV for Cats to Watch🐱| Mice Playing Hide & Seek | The Best Cat TV in 4K UHD!","Cat TV for Cats to Watch🐱| Mice Playing Hide & Seek | The Best Cat TV in 4K UHD! brings non-stop action with playful mice scurrying, grabbing sand, and hiding in full-screen high definition. Designed to keep your cat entertained and engaged, this video offers crystal-clear 4K UHD visuals and relaxing 60fps motion to captivate their attention for hours. Perfect for cats who love the thrill of chase or need a calm distraction, this video is sure to become their favorite!

Let your cats enjoy a virtual adventure filled with adorable mice playing hide & seek, all in stunning 4K UHD. Don't forget to like, share, and subscribe for more Cat TV that your pets will love!
#CatTV #CatEntertainment #4KUHD #MousePlay #CatsLoveThis #HideAndSeekMice #CatRelaxation #PetEntertainment #RelaxingForCats #CatsWatchingTV
#catTVrelaxing
#miceforcats
#catgames","10c91e0b-cbce-42b5-af59-99255e42bff3","a202db95-cf1a-4217-8d09-8c910722f2a1","2024-12-26",14554,"Ir0FPZk-iVY",1735247931024,1735247931024
"0a69d0a6-43fb-4c4c-8cab-633758ddbb23","Cat TV: 3 Hours of Hide & Seek Fun with Tiny Mice in 4K UHD | Catflix","### Cat TV: 3 Hours of Hide & Seek Fun with Tiny Mice in 4K UHD | Catflix
---
Treat your feline friend to 10 hours of pure joy with this delightful 4K UHD video featuring tiny mice popping up from wooden stem holes. Watch as these adorable mice play hide and seek, creating gentle rubbing sounds that are sure to engage and delight your feline companion.

We've captured real activity sounds using high-end sound recorders like Zoom NTG, Zoom H6, and Rode wireless mic from different angles to simulate an authentic experience that your cat will love. This video is shot in stunning 4K resolution at 60fps, ensuring crystal-clear quality and smooth motion that will captivate your cat's attention.

Whether you need a way to keep your cat entertained while you're away or just want to give them some extra playtime fun, this video is the perfect solution.

🎥 Sit back, relax, and let your cat enjoy the show! Don't forget to like, comment, and subscribe for more Cat TV videos.

We work hard to capture the perfect videos, sometimes spending days on a single video to ensure the highest quality and most engaging content. The background ambiance, including the soothing chirping of birds, is recorded separately to create a more comfortable and immersive experience for your cat.

Every cat deserves Catflix Cat TV. New episodes every day.

Any support is welcome. Behind the scenes in every video
*Don't forget to like 👍, share 📢, and subscribe 🔔 for more Cat TV content!*

---
#cattv #catflix #hideandseek #catrelaxation  #catentertainmentvideos","95064833-9125-4e1d-b154-c8b418ed6fb9","b4dcae34-de7f-4aa6-89c5-8acfc9258ffe","2024-12-26",13232,"WVrOeCPZr68",1735247935443,1735247935443
"46f52a24-e4d6-4750-a8e8-b8058e89adac","Birds, Squirrels & Christmas Elves in the Garden 🕊️🐿️ Video For Cats to Watch 😸","Birds, Squirrels & Christmas Elves in the Garden 🕊️🐿️ Video For Cats to Watch 😸
Welcome to our latest Cat TV show, designed especially for your furry friends who love birding, birdwatching, nature, and relaxation! Join us as we bring you a delightful lineup of feathered guests:

00:00 Birds on feeder 🐦‍⬛
10:00 The passerine bird
15:00 Parrot
20:00 Red-whiskered
25:00 Pycnonotus 
30:00 Copsychus
35:00 Timaliidae
40:00 Pycnonotidae
45:00 Brachypodius melanocephalos
50:00 Sturnidae
01:00:00 Chipmunk
and many other birds
Marsh Tit (Poecile palustris, syn. Parus palustris)
Great Tit (Parus major)
Blue Tit (Cyanistes caeruleus)
Wood Nuthatch (Sitta europaea)
Common blackbird (Turdus merula)
Eurasian tree sparrow (Passer montanus)
Eurasian jay (Garrulus glandarius)
European robin (Erithacus rubecula)
Eurasian siskin (Spinus spinus, syn. Carduelis spinus)
European greenfinch (Carduelis chloris)
Enjoy these beautiful sightings with your pets! Don't forget to like, subscribe, and share if you love our videos. Thank you for being a part of the @BirerChieu community!

📷 Filmed with Panasonic GH5 + RicohXR Rikenon 55mm F1.2
#cattv 
#cattvforcats
#catvideo
#videoforcatstowatch
#birdsforcatstowatch
#catvideos
#videoforcats
#BirderChieu","1fd86ece-a9f9-44fb-a861-c8899e21499e","d31a2192-c528-4978-a611-00d5d86d7652","2024-12-25",28801,"aAPN4Zx7mfM",1735247933688,1735247933688
"17cb48c3-174e-460e-9690-9d0e2b149f2c","Cat TV for Cats 😻Christmas Eve for Birds and Squirrels🐿4 Hours 4K HDR","Birds For Cats TV
Cat TV for Cats 😻Christmas Eve for Birds and Squirrels🐿4 Hours 4K HDR
#birdsounds #cattv #forestbirds 
----------------------------------------------------------------
Watch cat videos, birds, and forest noises on this channel. On this channel you'll find the most peaceful sound in the world. Do you want to listen to birds and the forest? Birds For Cats TV is a channel that will calm your mind and soul. Forest sound channel has sounds of nature such as rain, leaves, and wind.

©BirdsForCatsTV. All rights reserved. Any reproduction or republication of all or part of this video/audio is prohibited.","1ad628ba-3dbe-4772-b25b-3304915e5dbb","0eb2bba1-07bc-442e-9a54-2d6df589cdd4","2024-12-25",14401,"rHGjPAUVJhY",1735247938183,1735247938183
"13f0f690-2df5-4d62-b97d-7d82ed9f697a","Cat TV: Hide & Seek Madness on Cat TV - 3 Hours of Mice in Stunning 4K UHD | Catflix","### Cat TV: Hide & Seek Madness on Cat TV - 3 Hours of Mice in Stunning 4K UHD | Catflix
---
Treat your feline friend to 10 hours of pure joy with this delightful 4K UHD video featuring tiny mice popping up from wooden stem holes. Watch as these adorable mice play hide and seek, creating gentle rubbing sounds that are sure to engage and delight your feline companion.

We've captured real activity sounds using high-end sound recorders like Zoom NTG, Zoom H6, and Rode wireless mic from different angles to simulate an authentic experience that your cat will love. This video is shot in stunning 4K resolution at 60fps, ensuring crystal-clear quality and smooth motion that will captivate your cat's attention.

Whether you need a way to keep your cat entertained while you're away or just want to give them some extra playtime fun, this video is the perfect solution.

🎥 Sit back, relax, and let your cat enjoy the show! Don't forget to like, comment, and subscribe for more Cat TV videos.

We work hard to capture the perfect videos, sometimes spending days on a single video to ensure the highest quality and most engaging content. The background ambiance, including the soothing chirping of birds, is recorded separately to create a more comfortable and immersive experience for your cat.

Every cat deserves Catflix Cat TV. New episodes every day.

Any support is welcome. Behind the scenes in every video
*Don't forget to like 👍, share 📢, and subscribe 🔔 for more Cat TV content!*

---
#cattv #catflix #hideandseek #catrelaxation  #catentertainmentvideos","95064833-9125-4e1d-b154-c8b418ed6fb9","b4dcae34-de7f-4aa6-89c5-8acfc9258ffe","2024-12-25",13230,"YxQ-sKFoTW0",1735247935447,1735247935447
"741de203-41ef-49aa-beb9-e3347b93e044","Cat TV for Cats to Watch 😺 Cute Birds Fish and Ducks 🐿 4K HDR 60FPS","8 hours of pleasing video for cats, dogs, parrots, or other nature lovers. It can relax your kitten or puppy and minimize separation anxiety. If you work from home, this is your wildlife background show for a workday. Perfect background TV. 4K UHD TV screensaver. The nature sounds and bird songs are perfect as background music(BGM) or calming music for study or sleep.

Birds and squirrels in the video:
Zebra dove, Spotted dove, and more.

Your cat deserves Birder King’s Cat TV.
New episode every week. 
Like, Super Thanks, subscribe. Any support is welcome.

#birderking","ed5a3dde-200e-45cc-a07c-324db0259790","b58754a7-be27-4d58-96b9-9402ff8705ca","2024-12-25",28839,"80FKJq79SJA",1735247338775,1735247338775
"9fc1d069-a6b5-4516-8e6b-50187c738e9e","Captivating Nature TV for Cats 🐿️ Birds & Squirrels Scurry for Food in Stunning 4K HDR 🕊️ Ad-Free","Immerse your feline friend in the wonders of nature with this captivating, ad-free 4K HDR video! Featuring lively birds and energetic squirrels scurrying for food, this stunning wildlife footage offers endless entertainment for cats and a calming ambiance for humans. Perfect for creating a peaceful environment or keeping your pets engaged, this video showcases the beauty of nature with vibrant colors, soothing sounds, and zero interruptions. Bring the outdoors to your home and treat your furry companions to the best Nature TV experience! 🐾🌿🐦
Subscribe now and treat your furry companion to the ultimate in feline entertainment with 'Birds and Squirrels Wonderland'. Let every moment be a delightful adventure in the comfort of your home!
💻Thanks for watching, liking, sharing and subscribing. 🥰

#dogtv #backgroundvideo #videosfordogstowatch #videosforeveryone #cattv #squirrel #birdwatching #cardinals #woodpecker #backyardwildlife #separationanxiety #fourpawstv","94b2c71a-e400-4aa7-8e0e-ad502f78fdc2","b32ba2b9-ee28-4c35-b414-541891521592","2024-12-25",14424,"ebWqkOo8-NI",1735247340452,1735247340452
